Module,Niveau,Ecritures statiques,Constantes runtime,Appels ONE_PASS,Appels TWO_PASS,Etat gameplay
LEVEL_01,Pokitaru,106,7,27,28,NON TESTE DANS CETTE SESSION
LEVEL_02,Ryllus,105,7,26,31,NON TESTE DANS CETTE SESSION
LEVEL_03,Kalidon,105,7,6,27,NON TESTE DANS CETTE SESSION
LEVEL_04,Metalis,106,7,8,28,NON TESTE DANS CETTE SESSION
LEVEL_05,Dreamtime,103,7,11,29,NON TESTE DANS CETTE SESSION
LEVEL_06,Medical Outpost Omega,103,7,2,31,NON TESTE DANS CETTE SESSION
LEVEL_07,Challax,105,7,14,32,NON TESTE DANS CETTE SESSION
LEVEL_08,Dayni Moon,105,7,15,42,NON TESTE DANS CETTE SESSION
LEVEL_09,Inside Clank,105,7,2,29,NON TESTE DANS CETTE SESSION
LEVEL_10,Quadrona,105,7,4,31,NON TESTE DANS CETTE SESSION
LEVEL_15,Giant Clank — niveau 4,15,0,0,6,NON TESTE DANS CETTE SESSION
LEVEL_21,Giant Clank — niveau 7,15,0,0,6,NON TESTE DANS CETTE SESSION
LEVEL_22,Airboard — niveau 3,17,0,1,10,NON TESTE DANS CETTE SESSION
LEVEL_23,Airboard — niveau 6,98,0,2,22,NON TESTE DANS CETTE SESSION
LEVEL_24,HIG Treehouse,101,7,1,22,NON TESTE DANS CETTE SESSION
