module_index,module_key,equivalent_profile_indices,anchor_1_address,anchor_1_word
1,LEVEL_01,,0x09148800,0xC60E0000
2,LEVEL_02,,0x09148800,0xC6000008
3,LEVEL_03,,0x09148800,0xAFA00050
4,LEVEL_04,,0x09148800,0x8FBF0058
5,LEVEL_05,,0x09148800,0x45000003
6,LEVEL_06,,0x09148800,0x34040000
7,LEVEL_07,,0x09148800,0x46116B42
8,LEVEL_08,,0x09148800,0x4488A000
9,LEVEL_09,,0x09148800,0x3C043F80
10,LEVEL_10,,0x09148800,0x8FBF0080
15,LEVEL_15,21,0x09148800,0x45010006
21,LEVEL_21,15,0x09148800,0x45010006
22,LEVEL_22,,0x09148800,0x45010012
23,LEVEL_23,,0x09148800,0xC44F0004
24,LEVEL_24,,0x09148800,0x00034900
