module,level,object_name,category,descriptor_rva,callback_ordinal,callback_rva,callback_file_offset,vanilla_first_word,function_end_rva_estimate,is_empty_return,reachable_functions_depth3,candidate_sites_depth3,direct_candidate_sites,known_wrapper_family,role_status,runtime_address_rule
1,Pokitaru,Acidbomb,"Armes, projectiles et degats",0x002CCC90,0,0x00106BBC,0x00106C30,0x8C840058,0x00106BCC,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,Acidbomb,"Armes, projectiles et degats",0x002CCC90,1,0x00106BCC,0x00106C40,0x27BDFFE0,0x00106C00,False,4,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,Acidbomb,"Armes, projectiles et degats",0x002CCC90,2,0x00107534,0x001075A8,0x27BDFED0,0x00107C78,False,108,35,5,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AcidbombEpoxy,"Armes, projectiles et degats",0x002CCD18,0,0x00108978,0x001089EC,0x03E00008,0x00108980,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AcidbombEpoxy,"Armes, projectiles et degats",0x002CCD18,1,0x00108980,0x001089F4,0x27BDFFD0,0x00108A08,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AcidbombEpoxy,"Armes, projectiles et degats",0x002CCD18,2,0x00108A08,0x00108A7C,0x27BDFFD0,0x00108B34,False,25,5,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AcidGloveHUD,"Armes, projectiles et degats",0x002CCD78,0,0x00108F10,0x00108F84,0x03E00008,0x00108F18,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AcidGloveHUD,"Armes, projectiles et degats",0x002CCD78,1,0x00108F18,0x00108F8C,0x03E00008,0x00108F20,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AcidGloveHUD,"Armes, projectiles et degats",0x002CCD78,2,0x00108F20,0x00108F94,0x03E00008,0x00108F28,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentController,"Armes, projectiles et degats",0x002CCDD8,0,0x00108F28,0x00108F9C,0x27BDFFD0,0x00109018,False,6,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentController,"Armes, projectiles et degats",0x002CCDD8,1,0x00109018,0x0010908C,0x03E00008,0x00109020,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentController,"Armes, projectiles et degats",0x002CCDD8,2,0x001091D0,0x00109244,0x27BDFD60,0x001093EC,False,13,6,2,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentOfDoom,"Armes, projectiles et degats",0x002CD12C,0,0x00109820,0x00109894,0x27BDFFE0,0x001098FC,False,9,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentOfDoom,"Armes, projectiles et degats",0x002CD12C,1,0x001098FC,0x00109970,0x27BDFFD0,0x001099BC,False,4,2,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentOfDoom,"Armes, projectiles et degats",0x002CD12C,2,0x001099BC,0x00109A30,0x27BDFFE0,0x00109A68,False,22,19,2,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentOfDoom,"Armes, projectiles et degats",0x002CD12C,3,0x00109CDC,0x00109D50,0x03E00008,0x00109CE4,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentOfDoomShrapnel,"Armes, projectiles et degats",0x002CD20C,0,0x0010E3F4,0x0010E468,0x03E00008,0x0010E3FC,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentOfDoomShrapnel,"Armes, projectiles et degats",0x002CD20C,1,0x0010E3FC,0x0010E470,0x03E00008,0x0010E404,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentOfDoomShrapnel,"Armes, projectiles et degats",0x002CD20C,2,0x0010E404,0x0010E478,0x27BDFFE0,0x0010E430,False,20,31,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsBomb,"Armes, projectiles et degats",0x002CD348,0,0x0010E704,0x0010E778,0x03E00008,0x0010E70C,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsBomb,"Armes, projectiles et degats",0x002CD348,1,0x0010E70C,0x0010E780,0x03E00008,0x0010E714,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsBomb,"Armes, projectiles et degats",0x002CD348,2,0x0010E714,0x0010E788,0x27BDFFE0,0x0010E77C,False,57,19,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsGlove,"Armes, projectiles et degats",0x002CD3E0,0,0x0010FCA0,0x0010FD14,0x27BDFFD0,0x0010FD2C,False,4,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsGlove,"Armes, projectiles et degats",0x002CD3E0,1,0x0010FD2C,0x0010FDA0,0x27BDFFE0,0x0010FD58,False,4,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsGlove,"Armes, projectiles et degats",0x002CD3E0,2,0x0010FD58,0x0010FDCC,0x27BDFF80,0x00110228,False,55,8,3,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsGrenade,"Armes, projectiles et degats",0x002CD48C,0,0x00110228,0x0011029C,0xC48C0020,0x00110318,False,1,9,9,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsGrenade,"Armes, projectiles et degats",0x002CD48C,1,0x00110318,0x0011038C,0x03E00008,0x00110320,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsGrenade,"Armes, projectiles et degats",0x002CD48C,2,0x001107CC,0x00110840,0x27BDFF50,0x00110D48,False,47,24,12,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsLaser,"Armes, projectiles et degats",0x002CD534,0,0x00110D48,0x00110DBC,0x27BDFF80,0x00111050,False,22,3,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsLaser,"Armes, projectiles et degats",0x002CD534,1,0x00111050,0x001110C4,0x27BDFFE0,0x00111104,False,4,2,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsLaser,"Armes, projectiles et degats",0x002CD534,2,0x00111104,0x00111178,0x27BDFFB0,0x001112E4,False,31,14,3,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsRocket,"Armes, projectiles et degats",0x002CD628,0,0x00111B10,0x00111B84,0x00803825,0x00111BD4,False,1,9,9,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsRocket,"Armes, projectiles et degats",0x002CD628,1,0x00111BD4,0x00111C48,0x27BDFFE0,0x00111C54,False,4,2,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,AgentsRocket,"Armes, projectiles et degats",0x002CD628,2,0x00111C54,0x00111CC8,0x27BDFF10,0x00112054,False,54,15,4,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,ArmorHelmet,Autres objets et controleurs,0x002CD6C0,0,0x0011253C,0x001125B0,0x03E00008,0x00112544,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,ArmorHelmet,Autres objets et controleurs,0x002CD6C0,1,0x00112544,0x001125B8,0x03E00008,0x0011254C,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,ArmorHelmet,Autres objets et controleurs,0x002CD6C0,2,0x0011254C,0x001125C0,0x03E00008,0x00112554,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,ArmorLeftFoot,Autres objets et controleurs,0x002CD720,0,0x00112554,0x001125C8,0x03E00008,0x0011255C,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,ArmorLeftFoot,Autres objets et controleurs,0x002CD720,1,0x0011255C,0x001125D0,0x03E00008,0x00112564,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,ArmorLeftFoot,Autres objets et controleurs,0x002CD720,2,0x00112564,0x001125D8,0x03E00008,0x0011256C,True,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
1,Pokitaru,ArmorLeftHand,Autres objets et controleurs,0x002CD790,0,0x0011256C,0x001125E0,0x03E00008,0x00112574,False,1,0,0,,ordinal 2 typically update; other callbacks kept for interaction/animation timing,current verified module text base + callback RVA
