module,menu_kind,call_offset,native_target_offset,native_word_runtime,removed_redirect,after_v064,guard_count,evidence
1,pause,0x000B2684,0x0007572C,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,65,v0.6.3 generated menu profile; no new vanilla RAM observation
1,minigame_pause,0x000AE79C,0x0007572C,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,99,v0.6.3 generated menu profile; no new vanilla RAM observation
2,pause,0x000B84AC,0x0007B6B8,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,65,v0.6.3 generated menu profile; no new vanilla RAM observation
2,minigame_pause,0x000B45C4,0x0007B6B8,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,99,v0.6.3 generated menu profile; no new vanilla RAM observation
3,pause,0x000B23AC,0x000753D4,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,65,v0.6.3 generated menu profile; no new vanilla RAM observation
3,minigame_pause,0x000AE4C4,0x000753D4,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,99,v0.6.3 generated menu profile; no new vanilla RAM observation
4,pause,0x000B64A4,0x00078448,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,65,v0.6.3 generated menu profile; no new vanilla RAM observation
4,minigame_pause,0x000B25BC,0x00078448,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,99,v0.6.3 generated menu profile; no new vanilla RAM observation
5,pause,0x000B1314,0x000741C4,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,65,v0.6.3 generated menu profile; no new vanilla RAM observation
5,minigame_pause,0x000AD42C,0x000741C4,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,99,v0.6.3 generated menu profile; no new vanilla RAM observation
6,pause,0x000AD49C,0x0006FA4C,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,65,v0.6.3 generated menu profile; no new vanilla RAM observation
6,minigame_pause,0x000A95B4,0x0006FA4C,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,99,v0.6.3 generated menu profile; no new vanilla RAM observation
7,pause,0x000B40DC,0x000770E8,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,65,v0.6.3 generated menu profile; no new vanilla RAM observation
7,minigame_pause,0x000B01F4,0x000770E8,0x0C000000 | (((B + target_offset) >> 2) & 0x03FFFFFF),JAL(plugin_menu_hook[kind]),native call untouched by plugin,99,v0.6.3 generated menu profile; no new vanilla RAM observation
