module,level,rva,file_offset,section,file_word,reference_base,reference_address_NOT_live,runtime_vanilla_word_at_reference_base,patched_encoded,patch_interpretation,flags,layer,mechanic,source,binary_check,continuous,runtime_activation,validation,evidence,nearest_callback_NOT_proven_owner,callback_distance_bytes
1,Pokitaru,0x0000361C,0x00003690,.text,0x3C043D08,0x09139D00,0x0913D31C,0x3C043D08,0x3C043C88,literal word,16,1,"CamÃ©ra, branche positive +1/30 â†’ +1/60",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x00003634,0x000036A8,.text,0x3C04BD08,0x09139D00,0x0913D334,0x3C04BD08,0x3C04BC88,literal word,16,1,"CamÃ©ra, branche nÃ©gative -1/30 â†’ -1/60",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x000151E0,0x00015254,.text,0x3C043D08,0x09139D00,0x0914EEE0,0x3C043D08,0x3C043C88,literal word,16,1,Delta gÃ©nÃ©ral 1/30 â†’ 1/60,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0002832C,0x000283A0,.text,0x27BDFFC0,0x09139D00,0x0916202C,0x27BDFFC0,0x00000007,jump to plugin-owned cave 7,20,4,EntrÃ©e intÃ©grateur vers cave demi-pas,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x00028330,0x000283A4,.text,0xAFB00028,0x09139D00,0x09162030,0xAFB00028,0x00000000,literal word,16,4,Delay slot reproduit dans la cave,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x000283C4,0x00028438,.text,0x46107380,0x09139D00,0x091620C4,0x46107380,0x00000000,literal word,16,4,GravitÃ© vanilla neutralisÃ©e,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0002EC54,0x0002ECC8,.text,0x46166300,0x09139D00,0x09168954,0x46166300,0x461C6300,literal word,16,4,"Ã‚ge +1,0 vers +0,5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0002EC74,0x0002ECE8,.text,0x46166301,0x09139D00,0x09168974,0x46166301,0x461C6301,literal word,16,4,"DurÃ©e -1,0 vers -0,5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0002EE0C,0x0002EE80,.text,0x46166300,0x09139D00,0x09168B0C,0x46166300,0x461C6300,literal word,16,4,"Progression sol/rebond +1,0 vers +0,5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0002FBBC,0x0002FC30,.text,0x46006506,0x09139D00,0x091698BC,0x46006506,0x460C6500,literal word,16,1,Compensation locale du joueur,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0002FCFC,0x0002FD70,.text,0x2A240002,0x09139D00,0x091699FC,0x2A240002,0x2A240001,literal word,16,1,Sous-pas joueur 2 â†’ 1,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0004F490,0x0004F504,.text,0x3C04BF80,0x09139D00,0x09189190,0x3C04BF80,0x3C04BF00,literal word,16,8,Phase visuelle 1,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0004F6FC,0x0004F770,.text,0x3C05BF80,0x09139D00,0x091893FC,0x3C05BF80,0x3C05BF00,literal word,16,8,Phase visuelle 2,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0004FACC,0x0004FB40,.text,0x3C05BF80,0x09139D00,0x091897CC,0x3C05BF80,0x3C05BF00,literal word,16,8,Phase visuelle 3,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,,0
1,Pokitaru,0x0010768C,0x00107700,.text,0x460F6300,0x09139D00,0x0924138C,0x460F6300,0x00000000,jump to plugin-owned cave 0,20,2,"Gant Ã  Bombacide / Acid Bomb Glove â€” add.s f12,f12,f15 â†’ j cave",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Acidbomb,344
1,Pokitaru,0x00107690,0x00107704,.text,0xE60C0030,0x09139D00,0x09241390,0xE60C0030,0x00000000,literal word,16,2,"Gant Ã  Bombacide / Acid Bomb Glove â€” swc1 f12,0x30(s0) â†’ nop",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,Acidbomb,348
1,Pokitaru,0x001099E0,0x00109A54,.text,0x3C06BF80,0x09139D00,0x092436E0,0x3C06BF80,0x3C06BF00,literal word,16,2,"Agents Ravageurs / Agents of Doom â€” lui a2,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,AgentOfDoom,36
1,Pokitaru,0x001099FC,0x00109A70,.text,0x3C06BF80,0x09139D00,0x092436FC,0x3C06BF80,0x3C06BF00,literal word,16,2,"Agents Ravageurs / Agents of Doom â€” lui a2,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,AgentOfDoom,64
1,Pokitaru,0x0010E408,0x0010E47C,.text,0x3C073F80,0x09139D00,0x09248108,0x3C073F80,0x3C073F00,literal word,16,8,Pas du shrapnel dÃ©coratif,experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,AgentOfDoomShrapnel,4
1,Pokitaru,0x0010FDE8,0x0010FE5C,.text,0x3C04BF80,0x09139D00,0x09249AE8,0x3C04BF80,0x3C04BF00,literal word,16,2,"Agents Ravageurs / Agents of Doom â€” lui a0,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,AgentsGlove,144
1,Pokitaru,0x00110050,0x001100C4,.text,0x3C04BF80,0x09139D00,0x09249D50,0x3C04BF80,0x3C04BF00,literal word,16,2,"Agents Ravageurs / Agents of Doom â€” lui a0,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,AgentsGlove,760
1,Pokitaru,0x001107D4,0x00110848,.text,0x3C05BF80,0x09139D00,0x0924A4D4,0x3C05BF80,0x3C05BF00,literal word,16,2,"Agents Ravageurs / Agents of Doom â€” lui a1,-1.0 â†’ -0.5",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,AgentsGrenade,8
1,Pokitaru,0x00110A48,0x00110ABC,.text,0x460D6300,0x09139D00,0x0924A748,0x460D6300,0x00000001,jump to plugin-owned cave 1,20,2,"Agents Ravageurs / Agents of Doom â€” add.s f12,f12,f13 â†’ j cave",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,AgentsGrenade,636
1,Pokitaru,0x00110A4C,0x00110AC0,.text,0xE62C0004,0x09139D00,0x0924A74C,0xE62C0004,0x00000000,literal word,16,2,"Agents Ravageurs / Agents of Doom â€” swc1 f12,4(s1) â†’ nop",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,AgentsGrenade,640
1,Pokitaru,0x00111CA4,0x00111D18,.text,0x3C063D08,0x09139D00,0x0924B9A4,0x3C063D08,0x3C063C88,literal word,16,2,"Agents Ravageurs / Agents of Doom â€” lui a2,1/30 â†’ 1/60",experience_v021_manifest.json,PASS,False,configuration-dependent,historical; no new gameplay validation,provenance manifest,AgentsRocket,80
