family_id,family_status,family_key,owner_signature_sha256,module_count,member_count,callsite_count,pokitaru_callsite_count,ryllus_callsite_count,focus_callsite_count,module_indices,levels,present_in_pokitaru,present_in_ryllus,pokitaru_ryllus_scope,full_function_hash_variants,function_size_variants,static_domain_hypotheses,domain_evidence,evidence_strength,exact_object_descriptors,object_ancestors_depth_le_3,symbolic_names,source_paths,same_function_patch_layers,same_function_patch_mechanics,profiling_priority,safe_initial_policy,test_recipe,static_limit
WF-001,confirmed,SIG-2F3E3C8D9481,2f3e3c8d94815007925ad67e5ba4c86300ecf57cf262105869a43d99ee6ad1fb,15,15,45,3,3,6,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 15; 21; 22; 23; 24,Airboard — niveau 3; Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; Giant Clank — niveau 4; Giant Clank — niveau 7; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,2524,Indéterminé,,indéterminée,,,,,,,P1 — trace Pokitaru/Ryllus,VANILLA_UNTIL_PROFILED,"Tracer le compteur par scène, puis provoquer une seule action à la fois afin de distinguer appel par frame, tick fixe et appel événementiel.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-002,confirmed,SIG-24A2FF0A1557,24a2ff0a1557a72e167a4c96b6f9c801d44d4cba5af921ba5669a4084a8edf49,15,15,15,1,1,2,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 15; 21; 22; 23; 24,Airboard — niveau 3; Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; Giant Clank — niveau 4; Giant Clank — niveau 7; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,920,Indéterminé,,indéterminée,,,,,,,P1 — trace Pokitaru/Ryllus,VANILLA_UNTIL_PROFILED,"Tracer le compteur par scène, puis provoquer une seule action à la fois afin de distinguer appel par frame, tick fixe et appel événementiel.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-003,confirmed,SIG-A0C9F2348B17,a0c9f2348b17b34ae20cd986946e9986592765755ff8bc44e8d82a6df56c3b27,15,15,15,1,1,2,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 15; 21; 22; 23; 24,Airboard — niveau 3; Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; Giant Clank — niveau 4; Giant Clank — niveau 7; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,4276,Indéterminé,,indéterminée,,,,,,,P1 — trace Pokitaru/Ryllus,VANILLA_UNTIL_PROFILED,"Tracer le compteur par scène, puis provoquer une seule action à la fois afin de distinguer appel par frame, tick fixe et appel événementiel.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-004,confirmed,SIG-A50A4422A2A0,a50a4422a2a0366826d4c2c0aae73049d3e6d44c93e876dda92de2c52118f000,15,15,15,1,1,2,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 15; 21; 22; 23; 24,Airboard — niveau 3; Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; Giant Clank — niveau 4; Giant Clank — niveau 7; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,252,Indéterminé,,indéterminée,,,,,,,P1 — trace Pokitaru/Ryllus,VANILLA_UNTIL_PROFILED,"Tracer le compteur par scène, puis provoquer une seule action à la fois afin de distinguer appel par frame, tick fixe et appel événementiel.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-005,confirmed,SIG-0DE1954F42FE,0de1954f42fe210579d79a0be5f187d13dfc24a29256ecfea2cd306b3a6c1546,13,13,39,3,3,6,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 22; 23; 24,Airboard — niveau 3; Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,144,Helper transversal / contextes multiples,16 objets parents distincts à trois appels ou moins ; aucune association exclusive,faible,,Lvl05Image@1; RiotCar@1; Butterfly@2; DropshipC@2; FlyingCar@2; HeavyTorso01@2; Level01Boat@2; MedicBot@2; PathAnimal@2; RatchetShipAnimation@2; TMRobotHeadB@2; ExplosiveBee@3; FloatingCamera@3; FlyingHypo@3; Lvl07TinyCar@3; Skyboarder01@3,,,,,P1 — trace Pokitaru/Ryllus,VANILLA_UNTIL_PROFILED,Tracer d’abord dans plusieurs scènes représentatives sans changer la politique ; séparer ensuite les callsites si une même famille dessert des objets aux comportements différents.,La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-006,confirmed,SIG-CDA1F243ED3C,cda1f243ed3cc3baced794eea6410c47c7b121cbcf47c828c979d88435d7b6b7,13,13,13,1,1,2,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 22; 23; 24,Airboard — niveau 3; Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,1120,Armes et dégâts,mots-clés polarizer,moyenne,,Polarizer@1,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-007,confirmed,SIG-B07E66B93323,b07e66b93323e492431512dbd5e2654d2c18c232cad02595682cefe1704d88b8,12,12,36,3,3,6,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 23; 24,Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,792,Armes et dégâts,mots-clés agentofdoom,moyenne,,AgentOfDoom@2,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-008,confirmed,SIG-8A86AD129604,8a86ad12960405935ae334206b60801183e4e8e77418955f63d6f096a15c82de,12,12,24,2,2,4,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 23; 24,Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,540,Armes et dégâts,mots-clés agentofdoom,moyenne,,AgentOfDoom@2,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-009,confirmed,SIG-968668CCD519,968668ccd5198515cf25c2815fcfb186538f5bdd3b910ae8321fe3dde32303e0,12,12,24,2,2,4,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 23; 24,Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,712,Armes et dégâts,mots-clés agentofdoom,moyenne,,AgentOfDoom@2,,,,,P0 — test Pokitaru/Ryllus ciblé,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
WF-010,confirmed,SIG-B17654BD924D,b17654bd924dce7abe0f266c545c41586d38f478330125bbd1dd2d5edeb62a1b,12,12,24,2,2,4,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 23; 24,Airboard — niveau 6; Challax; Dayni Moon; Dreamtime; HIG Treehouse; Inside Clank; Kalidon; Medical Outpost Omega; Metalis; Pokitaru; Quadrona; Ryllus,yes,yes,commune aux deux,1,1440,Armes et dégâts,mots-clés agentofdoom,faible,,AgentOfDoom@3,,,,,P1 — trace Pokitaru/Ryllus,VANILLA_UNTIL_PROFILED,"Mesurer cadence, consommation de munitions et dégâts sur une cible stable ; pour les effets continus, mesurer aussi les ticks et la durée résiduelle.",La fréquence d’appel et le bon nombre de passes ne sont pas prouvables par la seule structure binaire.
