source_rva,mechanic,target_module,match_count,status
0x00067060,Teleport emitter elapsed seconds,5,0,absent_or_not_unique; no transfer
0x00067060,Teleport emitter elapsed seconds,6,0,absent_or_not_unique; no transfer
0x00067060,Teleport emitter elapsed seconds,15,0,absent_or_not_unique; no transfer
0x00067060,Teleport emitter elapsed seconds,21,0,absent_or_not_unique; no transfer
0x00067060,Teleport emitter elapsed seconds,22,0,absent_or_not_unique; no transfer
0x00067060,Teleport emitter elapsed seconds,23,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,1,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,2,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,3,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,5,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,6,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,7,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,9,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,10,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,15,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,21,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,22,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,23,0,absent_or_not_unique; no transfer
0x0012CF9C,ClankSaw two float countdowns,24,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,1,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,2,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,3,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,5,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,6,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,7,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,9,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,10,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,15,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,21,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,22,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,23,0,absent_or_not_unique; no transfer
0x001340A4,Nanotech fade timer -1 -> -0.5,24,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,1,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,2,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,3,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,5,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,6,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,7,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,9,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,10,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,15,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,21,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,22,0,absent_or_not_unique; no transfer
0x001352FC,Nanotech attraction timer -1 -> -0.5,23,0,absent_or_not_unique; no transfer
