module_index,module_key,level,mips_ra_runtime,callsite_runtime,owner_runtime,family_id,default_policy,note
1,LEVEL_01,Pokitaru,0x09148230,0x09148228,0x091481F4,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0914824C,0x09148244,0x091481F4,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09148268,0x09148260,0x091481F4,WF-005,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x091484AC,0x091484A4,0x09148468,WF-013,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x091484D0,0x091484C8,0x09148468,WF-013,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0914AAE8,0x0914AAE0,0x0914A844,WF-015,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09162C90,0x09162C88,0x09162B9C,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09162CB4,0x09162CAC,0x09162B9C,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09162CD8,0x09162CD0,0x09162B9C,WF-014,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x091632F8,0x091632F0,0x091632B4,WF-021,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09165C28,0x09165C20,0x09165B30,WF-017,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09165C4C,0x09165C44,0x09165B30,WF-017,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x09165C70,0x09165C68,0x09165B30,WF-017,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x091840C0,0x091840B8,0x09183E58,WF-002,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0918479C,0x09184794,0x091841F0,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x091847D0,0x091847C8,0x091841F0,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x0918494C,0x09184944,0x091841F0,WF-001,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x091885EC,0x091885E4,0x09187D08,WF-003,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
1,LEVEL_01,Pokitaru,0x091900B0,0x091900A8,0x09190048,WF-004,VANILLA,$ra = adresse du jal + 8 sur MIPS avec delay slot
